hsn8,description,category,rate,aliases,source
02071400,"CUTS AND OFFAL, FROZEN",chapter_02,,,gst_official_hsn_mstr
02072400,"NOT CUT IN PIECES, FRESH OR CHILLED",chapter_02,,,gst_official_hsn_mstr
02072500,"NOT CUT IN PIECES, FROZEN",chapter_02,,,gst_official_hsn_mstr
02072600,"CUTS AND OFFAL, FRESH OR CHILLED",chapter_02,,,gst_official_hsn_mstr
02072700,"Cuts and offal, frozen",chapter_02,,,gst_official_hsn_mstr
02074100,"NOT CUT IN PIECES, FRESH OR CHILLED",chapter_02,,,gst_official_hsn_mstr
02074200,"NOT CUT IN PIECES, FROZEN",chapter_02,,,gst_official_hsn_mstr
02074300,"FATTY LIVERS, FRESH OR CHILLED",chapter_02,,,gst_official_hsn_mstr
02074400,"OTHER, FRESH OR CHILLED",chapter_02,,,gst_official_hsn_mstr
02074500,"OTHER, FROZEN",chapter_02,,,gst_official_hsn_mstr
02075100,"NOT CUT IN PIECES, FRESH OR CHILLED",chapter_02,,,gst_official_hsn_mstr
02075200,"NOT CUT IN PIECES, FROZEN",chapter_02,,,gst_official_hsn_mstr
02075300,"FATTY LIVERS, FRESH OR CHILLED",chapter_02,,,gst_official_hsn_mstr
02075400,"OTHER, FRESH OR CHILLED",chapter_02,,,gst_official_hsn_mstr
02075500,"OTHER, FROZEN",chapter_02,,,gst_official_hsn_mstr
02076000,OF GUINEA FOWLS,chapter_02,,,gst_official_hsn_mstr
02081000,OF RABBITS OR HARES,chapter_02,,,gst_official_hsn_mstr
02082000,"OTHER MEAT AND EDIBLE MEAT OFFAL, FRESH, CHILLED OR FROZEN FROGR LEGS",chapter_02,,,gst_official_hsn_mstr
02083000,OF PRIMATES,chapter_02,,,gst_official_hsn_mstr
02084000,"OF WHALES, DOLPHINES AND PORPOISES (MAMMALS OF THE ORDER CETACEA), OF MANATEES AND DUGONGS (MAMMALS OF THE ORDER SIRENIA), OF SEALS, SEA LIONS AND WALRUSES (MAMMALS OF THE SUB-ORDER PINNIPEDIA)",chapter_02,,,gst_official_hsn_mstr
02085000,OF REPTILES (INCLUDING SNAKES AND TURTLES),chapter_02,,,gst_official_hsn_mstr
02086000,OF CAMELS AND OTHER CAMELIDS (CAMELIDAE),chapter_02,,,gst_official_hsn_mstr
02089010,OF WILD ANIMALS,chapter_02,,,gst_official_hsn_mstr
02089090,OTHER,chapter_02,,,gst_official_hsn_mstr
02091000,OF PIGS,chapter_02,,,gst_official_hsn_mstr
02099000,OTHER,chapter_02,,,gst_official_hsn_mstr
02101100,"HAMS, SHOULDERS AND CUTS THEREOF, WITH BONE IN",chapter_02,,,gst_official_hsn_mstr
02101200,BELLIES (STREAKY) AND CUTS THEREOF,chapter_02,,,gst_official_hsn_mstr
02101900,OTHER,chapter_02,,,gst_official_hsn_mstr
02102000,MEAT OF BOVINE ANIMALS,chapter_02,,,gst_official_hsn_mstr
02109100,OF PRIMATES,chapter_02,,,gst_official_hsn_mstr
02109200,"OF WHALES, DOLPHINS AND PORPOISES (MAMMALS OF THE ORDER CETACEA), OF MANATEES AND DUGONGS (MAMMALS OF THE ORDER SIRENIA), OF SEALS, SEA LIONS AND WALRUSES (MAMMALS OF THE SUB-ORDER PINNIPEDIA)",chapter_02,,,gst_official_hsn_mstr
02109300,OF REPTILES (INCLUDING SNAKES AND TURTLES),chapter_02,,,gst_official_hsn_mstr
02109900,OTHER,chapter_02,,,gst_official_hsn_mstr
03011100,FRESHWATER,chapter_03,,,gst_official_hsn_mstr
03011900,OTHER,chapter_03,,,gst_official_hsn_mstr
03019100,"TROUT (SALMO TRUTTA, ONCORHYNCHUS MYKISS, ONCORHYNCHUS CLARKII, ONCORHYNCHUS AGUABONITA, ONCORHYNCHUS GILAE, ONCORHYNCHUS APACHE AND ONCORHYNCHUS CHRYSOGASTER )",chapter_03,,,gst_official_hsn_mstr
03019200,EELS (ANGUILLA SPP.),chapter_03,,,gst_official_hsn_mstr
03019300,"CARP (CYPRINUS SPP., CARASSIUS SPP., CTENOP- HARYNGODON IDELLUS,HYPOPHTHALMICHTHYS SPP., CIRRHINUS SPP.,MYLOPHARYNGODON PICEUS, CATLA CATLA, LABEO SPP., OSTEOCHILUS HASSELTI, LEPTO- BARBUS HOEVENI, MEGALOBRAMA SPP.)",chapter_03,,,gst_official_hsn_mstr
03019400,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS)",chapter_03,,,gst_official_hsn_mstr
03019500,SOUTHERN BLUEFIN TUNAS (THUNNUS MACCOYII),chapter_03,,,gst_official_hsn_mstr
03019900,OTHER,chapter_03,,,gst_official_hsn_mstr
03021100,"TROUT (SALMO TRUTTA, ONCORHYNCUS MYKISS, ONCOR-HYNCUS CLARKII, ONCORHYNCUS AGUABONITA, ONCOR-HYNCUS GILAE, ONCORHYNCUS APACHE AND ONCOR-HYNCUS CHRYSOGASTER)",chapter_03,,,gst_official_hsn_mstr
03021300,"PACIFIC SALMON (ONCORHYNCHUS NERKA, ONCORHY-NCHUS GORBUSCHA, ONCORHYNCHUS KETA, ONCORHY-NCHUS TSCHAWYTSCHA, ONCORHYNCHUS KISUTCH, ONCORHYNCHUS MASOU AND ONCORHYNCHUS RHODURUS)",chapter_03,,,gst_official_hsn_mstr
03021400,ATLANTIC SALMON (SALMO SALAR) AND DANUBE SALMON(HUCHO HUCHO),chapter_03,,,gst_official_hsn_mstr
03021900,OTHER,chapter_03,,,gst_official_hsn_mstr
03022100,"HALIBUT (RHEINHARDTIUS HIPPOGLOSSIDAE, HIPPOG-LOSSUS HIPPOGLOSSUS, HIPPOGLOSSUS STENOLEPIS)",chapter_03,,,gst_official_hsn_mstr
03022200,PLAICE (PLEURONECTES PLATESSA),chapter_03,,,gst_official_hsn_mstr
03022300,SOLE (SOLEA SPP.),chapter_03,,,gst_official_hsn_mstr
03022400,Turbots (Psetta maxima),chapter_03,,,gst_official_hsn_mstr
03022900,OTHER,chapter_03,,,gst_official_hsn_mstr
03023100,ALBACORE OR LONG FINNED TUNAS (THUNNUS ALALUNGA),chapter_03,,,gst_official_hsn_mstr
03023200,YELLOWFIN TUNAS (THUNNUS ALBACARES),chapter_03,,,gst_official_hsn_mstr
03023300,SKIPJACK TUNA (STRIPE-BELLIED BONITO (KATSUWONUSPELAMIS),chapter_03,,,gst_official_hsn_mstr
03023400,BIGEYE TUNAS (THUNNUS OBESUS,chapter_03,,,gst_official_hsn_mstr
03023500,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS)",chapter_03,,,gst_official_hsn_mstr
03023600,SOUTHERN BLUEFIN TUNAS (THUNNUS MACCOYII),chapter_03,,,gst_official_hsn_mstr
03023900,OTHER,chapter_03,,,gst_official_hsn_mstr
03024000,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII) EXCLUDING LIVERS AND ROES",chapter_03,,,gst_official_hsn_mstr
03024100,"HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII)",chapter_03,,,gst_official_hsn_mstr
03024200,ANCHOVIES (ENGRAULIS SPP.),chapter_03,,,gst_official_hsn_mstr
03024300,"SARDINES (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELLA (SARDINELLA SPP.), BRISLING OR SPRATS (SPRATTUS SPRATTUS)",chapter_03,,,gst_official_hsn_mstr
03024400,"MACKEREL (SCOMBER SCOMBRUS, SCOMBER AUSTR-ALASICUS, SCOMBER JAPONICUS)",chapter_03,,,gst_official_hsn_mstr
03024500,JACK AND HORSE MACKEREL (TRACHURUS SPP.),chapter_03,,,gst_official_hsn_mstr
03024600,COBIA (RACHYCENTRON CANADUM),chapter_03,,,gst_official_hsn_mstr
03024700,SWORD FISH (XIPHIAS GLADIUS),chapter_03,,,gst_official_hsn_mstr
03024900,Other,chapter_03,,,gst_official_hsn_mstr
03025000,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS), EXCLUDING LIVERS AND ROES",chapter_03,,,gst_official_hsn_mstr
03025100,"COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS)",chapter_03,,,gst_official_hsn_mstr
03025200,HADDOCK (MELANGRAMMUS AEGLLEFINUS),chapter_03,,,gst_official_hsn_mstr
03025300,COAL FISH (POLLACHINUS VIRENS),chapter_03,,,gst_official_hsn_mstr
03025400,"HAKE (MERLUCCIUS SPP., UROPHYCIS SPP.)",chapter_03,,,gst_official_hsn_mstr
03025500,ALASKA POLLOCK (THERAGRACHALCOGRAMMA),chapter_03,,,gst_official_hsn_mstr
03025600,"BLUE WHITTINGS (MICROMESISTIUS POUTASSOU, MICRO-MESISTIUS AUSTRALIS)",chapter_03,,,gst_official_hsn_mstr
03025900,OTHER,chapter_03,,,gst_official_hsn_mstr
03026100,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304 OTHER FISH, EXCLUDING LIVERS AND ROES : SARDINES (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELLA (SARDINELLA SPP.) BRISLING OR SPRATS(SPRATTUS SPRATTUS)",chapter_03,,,gst_official_hsn_mstr
03026200,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304 OTHER FISH, EXCLUDING LIVERS AND ROES HADDOCK (MELANOGRAMMUS AEGLEFINUS)",chapter_03,,,gst_official_hsn_mstr
03026300,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304 OTHER FISH, EXCLUDING LIVERS AND ROES COALFISH (POLLACHIUS VIRENS)",chapter_03,,,gst_official_hsn_mstr
03026400,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304 OTHER FISH, EXCLUDING LIVERS AND ROES MACKEREL (SCOMBER SCOMBRUS, SCOMBER AUSTRALASICUS, SCOMBER JAPONICUS)",chapter_03,,,gst_official_hsn_mstr
03026500,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304 OTHER FISH, EXCLUDING LIVERS AND ROES DOGFISH AND OTHER SHARKS",chapter_03,,,gst_official_hsn_mstr
03026600,"FISH, FRESH OR CHILLED, EXCLUDING FISH FILLETS AND OTHER FISH MEAT OF HEADING 0304- OTHER FISH, EXCLUDING LIVERS AND ROES:--  EELS (ANGUILLA SPP.)",chapter_03,,,gst_official_hsn_mstr
03026700,"FISH, FRESH OR CHILLED, EXCLUDING FISH FILLETS AND OTHER FISH MEAT OF HEADING 0304- OTHER FISH, EXCLUDING LIVERS AND ROES:--  SWORDFISH (XIPHIAS GLADIUS)",chapter_03,,,gst_official_hsn_mstr
03026800,"FISH, FRESH OR CHILLED, EXCLUDING FISH FILLETS AND OTHER FISH MEAT OF HEADING 0304- OTHER FISH, EXCLUDING LIVERS AND ROES:-- TOOTHFISH (DISSOSTICHUS SPP.)",chapter_03,,,gst_official_hsn_mstr
03026910,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304 OTHER FISH, EXCLUDING LIVERS AND ROES  OTHER : HILSA",chapter_03,,,gst_official_hsn_mstr
03026920,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304 OTHER FISH, EXCLUDING LIVERS AND ROES  OTHER DARA",chapter_03,,,gst_official_hsn_mstr
03026930,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304 OTHER FISH, EXCLUDING LIVERS AND ROES  OTHER POMFRET",chapter_03,,,gst_official_hsn_mstr
03026990,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304 OTHER FISH, EXCLUDING LIVERS AND ROES  OTHER OTHER",chapter_03,,,gst_official_hsn_mstr
03027000,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304LIVERS AND ROES",chapter_03,,,gst_official_hsn_mstr
03027100,"TILAPIAS (OREOCHROMIS SPP.),",chapter_03,,,gst_official_hsn_mstr
03027200,"CATFISH (PANGASIUS SPP., SILURUS SPP., CLARIAS SPP., ICTALURUS SPP.)",chapter_03,,,gst_official_hsn_mstr
03027300,"CARP (CYPRINUS SPP., CARASSIUS SPP., CTENO-PHARYNGODON IDELLUS, HYPOPHTHALMICHTHYS SPP.,CIRRHINUS SPP., MYLOPHARYNGODON PICEUS, CATLACATLA, LABEO SPP., OSTEOCHILUS HASSELTI, LEPTOBAR- BUS HOEVENI, MEGALOBRAMA SPP.):",chapter_03,,,gst_official_hsn_mstr
03027400,EELS (ANGUILLA SPP.),chapter_03,,,gst_official_hsn_mstr
03027900,OTHER,chapter_03,,,gst_official_hsn_mstr
03028100,DOGFISH AND OTHER SHARKS,chapter_03,,,gst_official_hsn_mstr
03028200,RAYS AND SKATES (RAJIDAE),chapter_03,,,gst_official_hsn_mstr
03028300,TOOTH FISH (DISSOSTICHUS SPP.),chapter_03,,,gst_official_hsn_mstr
03028400,SEABASS (DICENTRARCHUS SPP.),chapter_03,,,gst_official_hsn_mstr
03028500,SEABREAM (SPARIDAE),chapter_03,,,gst_official_hsn_mstr
03028910,HILSA ( TENUALOSA ILISHA),chapter_03,,,gst_official_hsn_mstr
03028920,DARA,chapter_03,,,gst_official_hsn_mstr
03028930,POMFRET,chapter_03,,,gst_official_hsn_mstr
03028990,OTHER,chapter_03,,,gst_official_hsn_mstr
03029000,LIVERS AND ROES,chapter_03,,,gst_official_hsn_mstr
03029100,"LIVERS, ROES AND MILT",chapter_03,,,gst_official_hsn_mstr
03029110,"livers, roes and milt",chapter_03,,,gst_official_hsn_mstr
03029200,SHARK FINS,chapter_03,,,gst_official_hsn_mstr
03029210,Shark fins,chapter_03,,,gst_official_hsn_mstr
03029910,"Fish fins other than shark fins; heads, tails and maws",chapter_03,,,gst_official_hsn_mstr
03029990,Other edible fish offal,chapter_03,,,gst_official_hsn_mstr
03031100,SOCKEYE SALMON (RED SALMON) (ONCORHYNCHUS NERKA),chapter_03,,,gst_official_hsn_mstr
03031200,"OTHER PACIFIC SALMON (ONCORHYNCHUS GORBUSCHA,ONCORHYNCHUS KETA, ONCORHYNCHUS TSCHAWYTSCHA,ONCORHYNCHUS KISUTCH,ONCORHYNCHUS MASOU AND ONCORHYNCHUS RHODURUS)",chapter_03,,,gst_official_hsn_mstr
03031300,ATLANTIC SALMON (SALMO SALAR) AND DANUBE SALMON(HUCHO HUCHO),chapter_03,,,gst_official_hsn_mstr
03031400,"TROUT (SALMO TRUTTA, ONCORHYNCHUS MYKISS, ONCOR-HYNCHUS CLARKI, ONCORHYNCHUS AGUABONITA,ONCORHYNCHUS GILAE, ONCORHYNCHUS APACHE AND ONCORHYNCHUS CHRYSOGASTER)",chapter_03,,,gst_official_hsn_mstr
03031900,OTHER,chapter_03,,,gst_official_hsn_mstr
03032100,"FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304 OTHER SALMONIDAE, EXCLUDING LIVERS AND ROES     TROUT (SALMO TRUTTA, ONCORHYNCHUS MYKISS, ONCORHYNCHUS CLARKI,ONCORHYNCHUS AGUABONITA,ONCORHYNCHUS GILAE, ONCORHYNCHUS APACHE ANDONCORHYNCHUS CHRYSOGASTER)",chapter_03,,,gst_official_hsn_mstr
